Number,Journal tittle ,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online
376,African Journal of Oral Health Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
377,African Journal of Rheumatology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
378,African Journal of Science and Tech0logy,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
379,Anatomy Journal of Africa,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
380,Annals of African Surgery,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
381,Bulletin of Animal Health and Production in Africa,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
382,Cradle of K0wledge: African Journal of Educational and Social Science Research (The),African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
383,Discovery and In0vation,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1
384,East African Agricultural and Forestry Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,1,0,1
385,East African Journal of Statistics,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
386,East African Medical Journal,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1
387,East African Orthopaedic Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
388,East and Central African Journal of Pharmaceutical Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
389,"Journal of Agriculture, Science and Tech0logy - JKUAT",African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
390,Journal of Applied Biosciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
391,Journal of Civil Engineering Research and Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
392,"Journal of Civil Engineering, JKUAT",African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
393,Journal of East African Natural History,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
394,Journal of Food Tech0logy in Africa,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
395,"Journal of Language, Tech0logy & Entrepreneurship in Africa",African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
396,Journal of Obstetrics and Gynaecology of Eastern and Central Africa,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
397,Journal of Tropical Microbiology and Biotech0logy,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
398,KCA Journal of Business Management,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
399,Kenya Veterinarian,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
400,Scopus: Journal of East African Ornithology,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1
401,Thought and Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
402,African Journal of Chemical Education,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
403,African Research Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
404,AFRREV IJAH: An International Journal of Arts and Humanities,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
405,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
406,AFRREV STECH: An International Journal of Science and Tech0logy,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
407,Bulletin of the Chemical Society of Ethiopia,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
408,East African Journal of Biophysical and Computational Sciences,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
409,East African Journal of Sciences,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
410,Eastern Africa Social Science Research Review,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
411,Ethiopian Journal of Agricultural Sciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
412,Ethiopian Journal of Biological Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
413,Ethiopian Journal of Business and Eco0mics (The),African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
414,Ethiopian Journal of Development Research,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
415,Ethiopian Journal of Eco0mics,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
416,Ethiopian Journal of Education,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
417,Ethiopian Journal of Education and Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
418,Ethiopian Journal of Environmental Studies and Management,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
419,Ethiopian Journal of Health Development,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1
420,Ethiopian Journal of Health Sciences,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
421,Ethiopian Journal of Human Rights,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
422,Ethiopian Journal of Pediatrics and Child Health,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
423,Ethiopian Journal of Science and Sustainable Development,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
424,Ethiopian Journal of Science and Tech0logy,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
425,Ethiopian Journal of the Social Sciences and Humanities,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
426,Ethiopian Pharmaceutical Journal,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1
427,Ethiopian Veterinary Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
428,Haramaya Law Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
429,Journal of Business and Administrative Studies,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
430,Journal of Ethiopian Medical Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
431,Mizan Law Review,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
432,Momona Ethiopian Journal of Science,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
433,Oromia Law Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
434,"Science, Tech0logy and Arts Research Journal",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
